online_order,book_table,location,rest_type,dish_liked,cuisines,avg_cost,type,success
Yes,No,BTM,Quick Bites,"Dal Makhani, Rice, Buttermilk",North Indian,200.0,Delivery,0
Yes,No,BTM,Delivery,Biryani,"Biryani, Chinese, North Indian",300.0,Delivery,0
No,Yes,Koramangala 5th Block,"Pub, Casual Dining","Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari","Finger Food, Continental, North Indian",500.0,Delivery,1
No,No,BTM,Cafe,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",Cafe,250.0,Delivery,1
Yes,No,Koramangala 6th Block,Delivery,"Burgers, Pizza, Pasta, Chilli Paneer","Fast Food, Burger, Sandwich, Pizza",150.0,Delivery,1
Yes,No,Koramangala 1st Block,"Takeaway, Delivery",Not specified,"North Indian, Chinese",250.0,Delivery,0
Yes,No,HSR,"Takeaway, Delivery",Not specified,North Indian,150.0,Delivery,0
No,No,BTM,Quick Bites,Not specified,"Kerala, Tea",125.0,Delivery,0
Yes,No,Koramangala 2nd Block,Delivery,Not specified,"Chinese, North Indian, Fast Food",175.0,Delivery,0
Yes,No,Jayanagar,Quick Bites,"Chicken Grill, Rumali Roti, Rolls","Mughlai, Kebab, Chinese",275.0,Delivery,0
Yes,No,Koramangala 4th Block,Casual Dining,Not specified,Chinese,400.0,Delivery,0
No,Yes,JP Nagar,"Casual Dining, Pub","Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos","Italian, Continental",600.0,Delivery,1
Yes,No,Koramangala 1st Block,Quick Bites,Not specified,"Italian, Fast Food",200.0,Delivery,0
Yes,No,BTM,Beverage Shop,Not specified,Beverages,125.0,Delivery,0
Yes,No,BTM,Casual Dining,Not specified,"North Indian, Chinese, Arabian",350.0,Delivery,0
Yes,No,Koramangala 1st Block,Quick Bites,Not specified,"Fast Food, Desserts",100.0,Delivery,0
No,No,Koramangala 5th Block,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert","Cafe, American, Burger, Steak",450.0,Delivery,1
Yes,No,HSR,"Takeaway, Delivery","Lassi, Mutton",North Indian,200.0,Delivery,0
Yes,No,Koramangala 1st Block,Quick Bites,Not specified,North Indian,100.0,Delivery,0
Yes,No,HSR,Delivery,Not specified,"North Indian, Chinese",150.0,Delivery,0
No,No,BTM,Quick Bites,Not specified,Biryani,100.0,Delivery,0
No,No,Koramangala 5th Block,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie","Cafe, Italian, Fast Food",400.0,Delivery,1
Yes,No,HSR,Delivery,Not specified,"Healthy Food, Sandwich",150.0,Delivery,0
Yes,No,HSR,"Takeaway, Delivery",Not specified,"Biryani, South Indian, North Indian, Fast Food",200.0,Delivery,0
No,No,Koramangala 5th Block,Cafe,"Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti","Cafe, Continental, European, Juices",650.0,Delivery,1
Yes,No,HSR,"Takeaway, Delivery",Not specified,North Indian,200.0,Delivery,1
Yes,No,BTM,Casual Dining,Not specified,"North Indian, Fast Food, Chinese, Beverages",250.0,Delivery,0
Yes,No,Koramangala 5th Block,Quick Bites,Not specified,"Juices, Beverages, Fast Food",200.0,Delivery,0
No,Yes,Koramangala 5th Block,Casual Dining,"Noodles, Manchow Soup, Sake, Veg Sushi, Virgin Pinacolada, Tempura Prawns, Sea Food","Chinese, Sushi, Asian, Thai",700.0,Delivery,1
No,No,Koramangala 5th Block,Casual Dining,"Andhra Meal, Chicken Pepper Dry, Andhra Thali, Chicken Biryani, Murgh Ghee Roast, Ghee Rice, Hyderabadi Biryani","Andhra, North Indian, Biryani",400.0,Delivery,1
No,No,Koramangala 5th Block,Casual Dining,"Bamboo Chicken, Pot Biryani, Brain Fry, Hyderabadi Biryani, Brinjal Curry, Jowar Roti, Mutton Curry","Andhra, Biryani, North Indian, Chinese",325.0,Delivery,1
No,Yes,Koramangala 5th Block,Casual Dining,"Noodles, Chicken Momo, Momos, Lunch Buffet, Garlic Butter Noodle, Crab Soup, Jasmine Tea","Chinese, Thai, Momos",550.0,Delivery,1
No,No,Koramangala 5th Block,Quick Bites,"Momos, Noodles, Thukpa, Chicken Thupka, Manchow Soup, Chicken Momo, Crispy Honey Chicken","Chinese, Tibetan, Momos",175.0,Delivery,1
No,Yes,Koramangala 5th Block,Casual Dining,"Mocktails, Kimchi, Sushi, Pork Bibimbap, Ginger Tea, Chicken Sizzler, Salads",Korean,600.0,Delivery,1
No,No,Koramangala 5th Block,Dessert Parlor,"Waffles, Blueberry Cheesecake, Brownie Fudge, Vanilla Ice Cream, Freak Shake, Nutella Cheesecake, Nutella Waffle","Ice Cream, Desserts, Beverages",200.0,Delivery,1
No,Yes,JP Nagar,Casual Dining,"Murgh Ghee Roast, Neer Dosa, Sea Food, Fish, Prawn Ghee Roast, Prawn Curry, Vegetable Biryani","Konkan, Mangalorean, North Indian, Seafood",350.0,Delivery,1
No,No,JP Nagar,Casual Dining,"Tiramisu, Pasta, Salads, Gulab Jamun, Butter Naan, Chicken Soup, Hyderabadi Biryani","North Indian, Continental, Italian",450.0,Delivery,0
No,No,Koramangala 5th Block,Quick Bites,"Thali, Thepla, Gulab Jamun, Masala Lassi, Rice, Gujarati Food, Roti","North Indian, Gujarati",150.0,Delivery,1
No,No,Jayanagar,Quick Bites,Not specified,"Chinese, Italian, Fast Food, Momos",200.0,Delivery,0
No,No,JP Nagar,Delivery,Not specified,Biryani,150.0,Delivery,0
No,No,JP Nagar,Casual Dining,"Raita, Thali, Paratha, Chole, Buttermilk, Paneer Bhurji, Rice",North Indian,225.0,Delivery,0
No,No,HSR,Casual Dining,Not specified,"North Indian, Hyderabadi, Continental",300.0,Delivery,0
No,No,Koramangala 7th Block,Quick Bites,Not specified,"Chinese, Fast Food, Momos",100.0,Delivery,0
No,No,Bommanahalli,Quick Bites,Not specified,"Biryani, North Indian",250.0,Delivery,0
No,No,Koramangala 5th Block,"Takeaway, Delivery",Not specified,"North Indian, Chinese, Continental",325.0,Delivery,0
No,No,Koramangala 5th Block,"Takeaway, Delivery",Not specified,"North Indian, Chinese, Italian",250.0,Delivery,0
No,No,Koramangala 5th Block,Delivery,Not specified,"North Indian, Mughlai, Chinese",250.0,Delivery,0
No,No,Koramangala,Delivery,Not specified,"Fast Food, North Indian",175.0,Delivery,0
Yes,No,Koramangala 1st Block,Casual Dining,"Chaat, Gulab Jamun, Biryani, Samosa","North Indian, Fast Food, Street Food",400.0,Delivery,1
Yes,No,Koramangala 7th Block,Casual Dining,"Burgers, Pulpy Grape Juice, Chicken Wings, Pita Bread, Chicken Grill, Fish Grill, French Fries","North Indian, Arabian, Mughlai, Middle Eastern, Grill",400.0,Delivery,1
Yes,No,BTM,Delivery,Not specified,"Biryani, Chinese, North Indian",300.0,Delivery,0
Yes,No,JP Nagar,Quick Bites,"Cheese Dosa, Tea, Pizza Dosa","Street Food, South Indian",100.0,Delivery,1
Yes,No,BTM,Quick Bites,Not specified,Biryani,150.0,Delivery,0
Yes,No,HSR,"Quick Bites, Bakery",Cup Cake,"Bakery, Desserts, Italian, North Indian, Fast Food",175.0,Delivery,1
Yes,No,Ejipura,"Takeaway, Delivery",Not specified,Pizza,250.0,Delivery,0
Yes,No,HSR,"Takeaway, Delivery",Not specified,"Continental, American",250.0,Delivery,0
Yes,No,South Bangalore,Food Truck,Not specified,"Mughlai, Arabian, BBQ",100.0,Delivery,0
Yes,No,Koramangala 4th Block,Delivery,Biryani,North Indian,250.0,Delivery,1
Yes,No,Koramangala 5th Block,Quick Bites,"Sea Food, Thali, Red Snapper, Fish Fry, Neer Dosa",Seafood,225.0,Delivery,1
Yes,No,BTM,"Takeaway, Delivery",Not specified,Fast Food,200.0,Delivery,0
Yes,No,HSR,Quick Bites,Not specified,"Juices, Beverages, Salad",100.0,Delivery,0
Yes,No,South Bangalore,Food Truck,Not specified,Chinese,100.0,Delivery,0
Yes,No,Koramangala 4th Block,Delivery,Not specified,Chinese,300.0,Delivery,0
Yes,No,Koramangala 1st Block,Delivery,Not specified,Continental,200.0,Delivery,0
Yes,No,BTM,Casual Dining,Not specified,"North Indian, Chinese, Arabian",400.0,Delivery,0
Yes,No,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Cheese Maggi, Burgers, Bruschetta Bites, Cottage Cheese Sandwich","Cafe, Beverages",200.0,Delivery,1
Yes,No,Koramangala 4th Block,Dessert Parlor,"Waffles, Thick Shakes, Choco Brownie, Ferrero Rocher Shake, Blueberry Shake, Milky Way, Nutella Brownie","Desserts, Beverages",225.0,Delivery,1
Yes,No,Koramangala 6th Block,Casual Dining,"Enchiladas, Pasta, Cocktails, Peri Peri Chicken, Draught Beer, Hot Gulab Jamun, Fajita","Mexican, Continental, Italian, Chinese",350.0,Delivery,1
Yes,No,BTM,Dessert Parlor,"Faluda, Rabri, Malai Kulfi","Ice Cream, Beverages",100.0,Delivery,0
Yes,No,Koramangala 5th Block,Cafe,Friendly Staff,"Cafe, Italian",300.0,Delivery,1
Yes,No,BTM,Quick Bites,"Idli, Masala Dosa","South Indian, Chinese, North Indian",150.0,Delivery,0
Yes,No,Koramangala 1st Block,Quick Bites,Not specified,"North Indian, Chinese",150.0,Delivery,0
Yes,No,Koramangala 7th Block,Quick Bites,Not specified,"Chinese, Burger",150.0,Delivery,0
Yes,No,Koramangala 6th Block,Casual Dining,"Tandoori Chicken, Thali","North Indian, Chinese, Bengali",400.0,Delivery,0
Yes,No,BTM,Casual Dining,Not specified,North Indian,375.0,Delivery,0
No,Yes,Koramangala 5th Block,Bar,"Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini","Continental, Asian, North Indian",500.0,Delivery,1
Yes,No,Koramangala 5th Block,"Beverage Shop, Quick Bites","Faluda, Sandwiches, Paneer Tikka Pizza, Cream Mango, Custard Apple Cream, Veg Sandwich","Beverages, Fast Food, Desserts",175.0,Delivery,1
No,Yes,Koramangala 5th Block,Lounge,"Beer, Jalapeno Cheeseballs, Peri Peri Chicken Burger, Burgers, Nachos, Barbecue Chicken Wings, Cheesy Fries","Continental, American, Chinese, BBQ, Salad",500.0,Delivery,1
Yes,No,HSR,Quick Bites,Not specified,South Indian,100.0,Delivery,0
Yes,No,Koramangala 2nd Block,Delivery,Not specified,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",150.0,Delivery,0
No,Yes,Koramangala 5th Block,Lounge,"Nachos, Pasta, Cocktails, Khamiri Roti, Beer, Lamb, Burgers","Continental, North Indian",700.0,Delivery,1
Yes,No,Koramangala 5th Block,Cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries","Cafe, Desserts, Beverages",350.0,Delivery,1
Yes,No,Koramangala 1st Block,Cafe,Not specified,Cafe,250.0,Delivery,0
Yes,No,Jayanagar,Quick Bites,Not specified,"Fast Food, Tea",100.0,Delivery,0
Yes,No,Koramangala 5th Block,Casual Dining,"Jalebi, Chaat, Dal Makhani, Tandoori Roti","North Indian, South Indian, Chinese",200.0,Delivery,1
Yes,No,Koramangala 3rd Block,Delivery,Not specified,North Indian,200.0,Delivery,0
Yes,No,BTM,Quick Bites,Not specified,"Kebab, Biryani",150.0,Delivery,0
No,No,Koramangala 5th Block,Quick Bites,"Nachos, Rice Bowl, California Burrito, Rice Bowls, Chicken Quesadilla, Bbq Chicken, Pink Lemonade","Mexican, Fast Food",200.0,Delivery,1
No,No,Koramangala 5th Block,Casual Dining,"Dragon Chicken, Butter Chicken, Rolls, Mutton Biryani, Raita, Panneer Butter Masala, Tandoori Chicken","North Indian, Chinese, Biryani",250.0,Delivery,1
No,No,Jayanagar,Casual Dining,"Ghee Rice, Mutton Biryani, Haleem, Lassi, Chicken Biryani, Chicken Kebab, Dal Fry","North Indian, BBQ, Kebab, Rolls",275.0,Delivery,1
No,Yes,Koramangala 4th Block,Cafe,"Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea","Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",400.0,Delivery,1
Yes,No,JP Nagar,Casual Dining,"Filter Kaapi, Coffee, Egg Curry, Neer Dosa, Kadala Curry, Ghee Idli, Noodles","South Indian, Seafood, North Indian, Beverages",300.0,Delivery,1
No,Yes,Koramangala 5th Block,Cafe,"Salads, Healthy Breakfast, Quinoa Salad, Frittata, Pancakes, Smoothie Chocolate, Wheat Roll","Cafe, Continental, Mediterranean, Beverages",450.0,Delivery,1
No,No,Koramangala 4th Block,Casual Dining,"Tandoori Chicken, Biryani, Chettinad Thali, Elaneer Payasam, Crab Soup, Fish, Pepper Chicken","Chettinad, South Indian",325.0,Delivery,1
No,Yes,Koramangala 4th Block,"Casual Dining, Bar","Supreme Chicken Biryani, Veg Thali, Chilli Chicken, Curd Rice, Lime Soda, Mutton Bone Soup, Hyderabadi Biryani","Andhra, Biryani, North Indian, Chinese",400.0,Delivery,1
No,No,Koramangala 5th Block,Casual Dining,"Buttermilk, Chicken Dosa, Masala Dosa, Filter Coffee, Tea, Chicken Sandwich, Paneer Dosa","South Indian, North Indian, Chinese",325.0,Delivery,1
No,No,Koramangala 5th Block,Quick Bites,"Chai, Aloo Samosa, Tea","Street Food, Fast Food",75.0,Delivery,1
No,No,Hosur Road,Bar,Not specified,"North Indian, Chinese",750.0,Delivery,1
Yes,No,Koramangala 5th Block,Cafe,Not specified,"Cafe, Continental, Beverages",250.0,Delivery,0
No,Yes,Koramangala 7th Block,Casual Dining,"Dal Makhani, Phirni, Kheer, Chicken Butter Masala, Murgh Lababdar, Chicken Tikka, Paneer Tikka",North Indian,325.0,Delivery,1
No,No,Koramangala 7th Block,Beverage Shop,"Thick Shakes, Belgium Chocolate, Triple Choco Chip, Chocolate Thickshake, Brownie Shake, Mango Blast, Belgian Chocolate Shake","Beverages, Juices",175.0,Delivery,1
No,No,Hosur Road,Delivery,Not specified,"North Indian, South Indian",100.0,Delivery,0
No,No,Jayanagar,Quick Bites,"Chocolate Sandwich, Chaat, Corn Sandwich, Chilli Cheese, Cheese Sandwiches, Veg Sandwich","Fast Food, Street Food",100.0,Delivery,1
No,No,Jayanagar,Quick Bites,"Mutton Biryani, Ghee Rice","North Indian, BBQ",200.0,Delivery,1
No,No,HSR,Casual Dining,Not specified,"North Indian, Chinese",300.0,Delivery,0
No,No,Jayanagar,Casual Dining,"Khubani Ka Meetha, Mutton Biryani, Chicken Biryani, Tandoori Chicken, Hyderabadi Dum Biryani, Raita","North Indian, Biryani, Chinese",400.0,Delivery,1
No,No,Koramangala 5th Block,Mess,"Veg Thali, Paratha, Kadhi, Shrikhand, Buttermilk, Sweet Lassi, Bati Churma",North Indian,75.0,Delivery,1
No,No,Koramangala 7th Block,Quick Bites,"Thali, Chicken Lollipop, Gundappa Donne Biryani, Mutton Biryani",Biryani,100.0,Delivery,0
No,No,Koramangala 3rd Block,Quick Bites,Not specified,"Biryani, Chinese",125.0,Delivery,0
No,No,Bommanahalli,Quick Bites,Not specified,"North Indian, Chinese",150.0,Delivery,0
No,No,Bommanahalli,Quick Bites,Not specified,"Chinese, North Indian, Biryani",75.0,Delivery,0
No,No,Koramangala 5th Block,Mess,Not specified,"North Indian, Bengali",150.0,Delivery,0
No,No,Koramangala 7th Block,"Bakery, Dessert Parlor","Donut, Chocolate Fantasy",Desserts,75.0,Delivery,1
No,No,HSR,Delivery,"Chicken Momo, Momos","Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",250.0,Delivery,0
No,No,HSR,Quick Bites,Not specified,Chinese,125.0,Delivery,0
No,No,Jayanagar,Quick Bites,Not specified,South Indian,100.0,Delivery,0
No,No,Koramangala 7th Block,Delivery,Not specified,Street Food,150.0,Delivery,0
No,No,JP Nagar,Dessert Parlor,"Irish Coffee, Eggless Cake","Bakery, Desserts",100.0,Delivery,0
No,No,JP Nagar,"Bakery, Quick Bites",Not specified,Bakery,200.0,Delivery,0
No,No,Bannerghatta Road,Sweet Shop,Not specified,"Mithai, Desserts",75.0,Delivery,0
No,No,Koramangala 2nd Block,Quick Bites,Not specified,South Indian,100.0,Delivery,0
No,No,JP Nagar,Bakery,Not specified,"Bakery, Desserts",150.0,Delivery,0
No,No,Jayanagar,Quick Bites,Not specified,"North Indian, Chinese",150.0,Delivery,0
No,No,Bannerghatta Road,Bakery,Not specified,Bakery,200.0,Delivery,0
No,No,Koramangala 5th Block,Delivery,Not specified,"North Indian, South Indian",200.0,Delivery,0
No,No,HSR,Casual Dining,Not specified,"North Indian, Mughlai, Biryani",350.0,Delivery,0
No,No,Koramangala 6th Block,Quick Bites,Not specified,"Chinese, Kerala, North Indian, South Indian",175.0,Delivery,1
No,No,JP Nagar,Delivery,Not specified,"North Indian, South Indian",200.0,Delivery,0
No,No,Koramangala 5th Block,Quick Bites,Not specified,Chinese,100.0,Delivery,0
No,No,Koramangala 5th Block,Quick Bites,Not specified,"Pizza, Italian",250.0,Delivery,0
No,No,HSR,Casual Dining,Not specified,"North Indian, Chinese",225.0,Delivery,0
No,No,Koramangala 7th Block,Quick Bites,Not specified,"South Indian, Biryani",150.0,Delivery,0
No,No,Koramangala 5th Block,Quick Bites,Not specified,"American, Fast Food",125.0,Delivery,0
No,No,Jayanagar,Quick Bites,Not specified,"Chinese, Momos",150.0,Delivery,1
No,No,Koramangala 7th Block,"Takeaway, Delivery",Not specified,"North Indian, Chinese",200.0,Delivery,0
No,No,Koramangala 5th Block,Dessert Parlor,Nitrogen Ice Cream,"Ice Cream, Beverages, Desserts",200.0,Delivery,1
No,No,Bommanahalli,Quick Bites,Not specified,"Andhra, North Indian",200.0,Delivery,0
No,No,Koramangala 5th Block,Quick Bites,Not specified,"Juices, Fast Food",75.0,Delivery,0
No,No,HSR,Delivery,Not specified,North Indian,75.0,Delivery,0
No,No,HSR,"Takeaway, Delivery",Not specified,"Bakery, Desserts",300.0,Delivery,0
No,No,HSR,Quick Bites,Not specified,"North Indian, Chinese, Biryani",200.0,Delivery,0
No,No,Koramangala 5th Block,Quick Bites,Not specified,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",100.0,Delivery,0
No,No,Koramangala 5th Block,"Dessert Parlor, Quick Bites",Not specified,"Desserts, Fast Food",200.0,Delivery,0
No,No,Bommanahalli,Quick Bites,Not specified,"North Indian, Street Food",100.0,Delivery,0
No,No,Koramangala 5th Block,Quick Bites,Not specified,"Chinese, North Indian",125.0,Delivery,0
No,No,Koramangala 1st Block,Delivery,Not specified,"Biryani, Chettinad, Kerala, Maharashtrian, North Indian",200.0,Delivery,0
No,No,Koramangala 5th Block,Casual Dining,Not specified,"Kerala, North Indian, Chinese",350.0,Delivery,0
No,No,Jayanagar,Casual Dining,"Palak Rice, Draught Beer","North Indian, Chinese",450.0,Delivery,0
No,No,Bommanahalli,Quick Bites,Not specified,"North Indian, Chinese",150.0,Delivery,0
Yes,No,HSR,Quick Bites,Not specified,"Biryani, Chinese",125.0,Delivery,0
Yes,No,BTM,Quick Bites,Not specified,"Fast Food, North Indian, Rolls",125.0,Delivery,1
Yes,No,Koramangala 7th Block,Cafe,"Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami","Cafe, American, Italian, Beverages",350.0,Delivery,1
Yes,No,Bommanahalli,Quick Bites,Not specified,North Indian,150.0,Delivery,0
No,No,Koramangala 5th Block,Beverage Shop,Not specified,Beverages,150.0,Delivery,0
Yes,No,Bommanahalli,Beverage Shop,Not specified,"Beverages, Fast Food",125.0,Delivery,0
Yes,No,HSR,Beverage Shop,Not specified,Beverages,50.0,Delivery,0
Yes,No,Bannerghatta Road,Casual Dining,Prompt Service,"North Indian, Chinese",300.0,Delivery,0
Yes,No,HSR,Casual Dining,"Murgh Makhani, Chicken Biryani, Naan, Beer, Tandoori Chicken","North Indian, Chinese, Mughlai",400.0,Delivery,0
Yes,No,Koramangala 1st Block,Quick Bites,Not specified,Kerala,100.0,Delivery,0
Yes,No,Koramangala 4th Block,Quick Bites,Not specified,"Fast Food, Rolls, Juices",100.0,Delivery,0
Yes,No,BTM,Beverage Shop,"Faluda, Fruit Salad, Fruit Lassi",Beverages,75.0,Delivery,1
Yes,Yes,Koramangala 4th Block,"Casual Dining, Bar","Biryani, Breakfast Buffet, Fish, Salads, Burgers, Caramel Pudding, Steak","European, American, Continental, North Indian, Steak",750.0,Delivery,1
Yes,No,HSR,Cafe,Not specified,"Cafe, Chinese, Continental",250.0,Delivery,0
Yes,No,Koramangala 5th Block,Quick Bites,Not specified,"Tibetan, Asian, Momos",250.0,Delivery,1
Yes,No,Koramangala 6th Block,"Takeaway, Delivery",Not specified,Fast Food,250.0,Delivery,0
Yes,No,Jayanagar,"Bakery, Quick Bites",Not specified,"Desserts, Bakery",275.0,Delivery,0
Yes,No,BTM,"Takeaway, Delivery",Not specified,Biryani,150.0,Delivery,0
Yes,No,HSR,Quick Bites,Not specified,Street Food,50.0,Delivery,0
Yes,No,BTM,Quick Bites,Not specified,"South Indian, Biryani",150.0,Delivery,0
Yes,No,Koramangala 1st Block,Sweet Shop,Not specified,"Mithai, Desserts",50.0,Delivery,1
Yes,No,Koramangala 5th Block,Sweet Shop,Not specified,"Mithai, Oriya, Bengali",75.0,Delivery,1
Yes,No,Bommanahalli,Quick Bites,Not specified,"Chinese, Rolls, Momos",125.0,Delivery,0
Yes,No,HSR,Casual Dining,Not specified,"Beverages, North Indian, Chinese, Italian",450.0,Delivery,0
Yes,No,Koramangala 1st Block,Quick Bites,Not specified,"South Indian, Chinese",75.0,Delivery,0
Yes,No,HSR,Quick Bites,Burgers,"Fast Food, Beverages",200.0,Delivery,1
Yes,No,Koramangala 1st Block,Bakery,Not specified,"Bakery, Desserts",100.0,Delivery,0
Yes,No,BTM,"Takeaway, Delivery",Not specified,North Indian,150.0,Delivery,0
Yes,No,Bommanahalli,Quick Bites,Not specified,"North Indian, Chinese, Biryani",150.0,Delivery,0
Yes,No,Koramangala 5th Block,Quick Bites,Not specified,"Chinese, North Indian, Continental",100.0,Delivery,0
Yes,Yes,HSR,Casual Dining,"Chicken Biryani, Dal Makhani, Bamboo Biryani, Garlic Naan","North Indian, Mughlai, Chinese, South Indian",450.0,Delivery,1
No,No,BTM,Dessert Parlor,"Fruit Truffle, Tiramisu Cake, Cheesecake, Chocolate Truffle, Brownie, Chocolate Cake, Sandwiches","Bakery, Desserts",200.0,Desserts,1
Yes,No,BTM,Dessert Parlor,"Waffles, Oreo Shake, Banana Nutella Crepe","Desserts, Beverages",150.0,Desserts,1
Yes,No,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Kit Kat Shake","Desserts, Beverages",200.0,Desserts,1
Yes,No,BTM,"Dessert Parlor, Beverage Shop","Thick Shakes, Oreo Milkshake, Gelato, Coffee, Oreo Shake, Protein Shake, Choco Brownie",Beverages,150.0,Desserts,1
Yes,No,BTM,Bakery,Not specified,"Bakery, Desserts, Beverages",225.0,Desserts,1
Yes,No,BTM,Delivery,"Healthy Breakfast, Salads, Date Pudding, Chicken Curry, Chicken Chettinad, Dal Makhani, Hakka Noodles","Healthy Food, North Indian, Biryani, Continental, Desserts",250.0,Desserts,1
Yes,No,BTM,Cafe,Not specified,"Cafe, Burger, Rolls, Beverages",200.0,Desserts,0
Yes,No,BTM,"Dessert Parlor, Beverage Shop","Chocolate Waffles, Marshmallow, Chocolate Overload, Kitkat Waffles","Desserts, Beverages",150.0,Desserts,1
Yes,No,BTM,"Sweet Shop, Quick Bites","Chole Bhature, Chaat, Kulfi, Kachori, Pav Bhaji, Samosa, Barfi","Mithai, Street Food, Fast Food",100.0,Desserts,1
Yes,No,BTM,Sweet Shop,Not specified,"Mithai, Street Food",200.0,Desserts,1
Yes,No,BTM,"Quick Bites, Sweet Shop","Chaat, Panipuri, Lassi, Gol Gappe, Paratha, Pav Bhaji, Samosa","Street Food, Mithai",100.0,Desserts,0
Yes,No,BTM,Beverage Shop,"Faluda, Fruit Salad, Fruit Lassi",Beverages,100.0,Desserts,1
Yes,No,BTM,"Beverage Shop, Dessert Parlor",Not specified,"Beverages, Desserts, Ice Cream",200.0,Desserts,1
No,No,BTM,"Quick Bites, Sweet Shop","Samosa, Dhokla, Ladoo, Sweet Kachori, Onion Kachori, Ghee Jalebi","Street Food, Mithai",75.0,Desserts,1
Yes,No,BTM,Dessert Parlor,"Waffles, Red Velvet Waffle, Brownie Sundae, Nutella Waffle","Desserts, Beverages",150.0,Desserts,1
Yes,No,BTM,Bakery,Not specified,"Bakery, Desserts",250.0,Desserts,1
No,No,BTM,Bakery,"Chocolava, Red Velvet Cake, Choco Truffle Cake, Cup Cake, Chocolate Truffle, Blueberry Cheesecake","Bakery, Desserts",250.0,Desserts,1
Yes,No,BTM,Dessert Parlor,"Icecream Cake, Brownie, Hot Chocolate, Waffles, Chocolate Icecreams",Ice Cream,125.0,Desserts,1
Yes,No,BTM,Delivery,Not specified,Bakery,250.0,Desserts,0
Yes,No,BTM,"Sweet Shop, Quick Bites","Chaat, Chole Bhature, Thali, Rasmalai, Raj Kachori, Paratha, Pav Bhaji","Mithai, North Indian, Street Food, Chinese",200.0,Desserts,0
Yes,No,BTM,Dessert Parlor,Not specified,"Ice Cream, Desserts",225.0,Desserts,1
Yes,No,BTM,Casual Dining,"Burgers, Chicken Grill, Faluda, French Fries, Sandwich","North Indian, Chinese, Beverages",400.0,Desserts,1
Yes,No,BTM,Bakery,German Chocolate,Bakery,200.0,Desserts,0
Yes,No,BTM,Bakery,"Chocolate Decadence, Chocolate Fantasy, Pancakes, Pan Cake","Bakery, Desserts",250.0,Desserts,1
No,No,BTM,"Quick Bites, Dessert Parlor",Not specified,"Fast Food, Desserts, Ice Cream",150.0,Desserts,0
Yes,No,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Donut, Brownie","Cafe, Bakery",250.0,Desserts,1
No,No,BTM,Sweet Shop,Not specified,"Mithai, Fast Food",150.0,Desserts,0
No,No,BTM,"Bakery, Quick Bites","Ginger Tea, Chai, Coffee","Bakery, Street Food",100.0,Desserts,1
No,No,BTM,"Sweet Shop, Quick Bites",Not specified,"Mithai, Street Food",100.0,Desserts,0
No,No,BTM,"Dessert Parlor, Sweet Shop",Not specified,"Desserts, Street Food, Mithai",100.0,Desserts,0
No,No,BTM,Bakery,Cheesecake,Bakery,100.0,Desserts,0
No,No,BTM,"Quick Bites, Sweet Shop",Not specified,"Street Food, Mithai",100.0,Desserts,0
Yes,No,BTM,Dessert Parlor,Not specified,Desserts,150.0,Desserts,0
No,No,BTM,Delivery,Not specified,"Desserts, Bakery, Beverages",125.0,Desserts,0
No,No,BTM,"Takeaway, Delivery","Blueberry Cheesecake, Oreo Cheesecake",Desserts,200.0,Desserts,0
Yes,No,BTM,Bakery,Not specified,"Bakery, Desserts",200.0,Desserts,0
No,No,BTM,Sweet Shop,Not specified,"Mithai, Desserts, Fast Food",125.0,Desserts,0
Yes,No,BTM,Dessert Parlor,"Faluda, Rabri, Malai Kulfi",Ice Cream,50.0,Desserts,0
Yes,No,BTM,Bakery,Not specified,Bakery,250.0,Desserts,0
No,No,BTM,Quick Bites,Not specified,"Fast Food, Desserts, Rolls",100.0,Desserts,0
Yes,No,BTM,Dessert Parlor,Not specified,"Desserts, Ice Cream",125.0,Desserts,0
Yes,No,South Bangalore,Delivery,Not specified,"Ice Cream, Desserts",200.0,Desserts,0
No,No,BTM,Sweet Shop,Not specified,Mithai,150.0,Desserts,0
